epoch,recall10,mrr10,ndcg,avg_rate,loss,name
1,0.418666666667,0.187411640212,0.241594637761,16687.838,9.91041851044,additional
2,0.417333333333,0.195653439153,0.24755256004,16832.888,9.68838214874,additional
3,0.423333333333,0.204595502646,0.255798847659,16830.636,9.4551486969,additional
4,0.398666666667,0.200936507937,0.247445167207,17000.426,9.22581005096,additional
5,0.386666666667,0.192134656085,0.237965374668,17015.172,8.95167827606,additional
6,0.388,0.194042063492,0.23967375496,17027.024,8.75653648376,additional
7,0.394,0.192823544974,0.239905872751,17133.172,8.58352279663,additional
8,0.385333333333,0.197675925926,0.241781498542,17254.838,8.41303920746,additional
9,0.380666666667,0.188527777778,0.233506822756,17423.08,8.24799060822,additional
10,0.374,0.193277777778,0.235656663474,17473.798,8.116938591,additional
11,0.378,0.19118968254,0.234859171618,17514.664,7.9937748909,additional
12,0.372666666667,0.185334920635,0.229221013942,17539.3,7.87684106827,additional
13,0.372,0.18362010582,0.227678233102,17556.118,7.76241350174,additional
14,0.36,0.176834920635,0.219733083205,17550.256,7.65039253235,additional
15,0.356,0.184316137566,0.224294708395,17591.442,7.54339647293,additional
16,0.362,0.178975661376,0.221687551023,17663.642,7.43911504745,additional
17,0.351333333333,0.175291798942,0.21659556099,17733.09,7.34012365341,additional
18,0.347333333333,0.174127777778,0.214572264951,17827.038,7.24483108521,additional
19,0.345333333333,0.175132010582,0.214902667052,17876.182,7.1515750885,additional
20,0.344,0.175590740741,0.215172304443,17966.848,7.06767416,additional
21,0.348,0.175255026455,0.215649140209,18041.136,6.98562860489,additional
22,0.339333333333,0.178263492063,0.21596493311,18120.18,6.91100645065,additional
23,0.336666666667,0.175428835979,0.2130984625,18168.022,6.8375954628,additional
24,0.338,0.180425925926,0.217223206254,18273.232,6.76332998276,additional
25,0.338666666667,0.180558201058,0.217409931926,18359.64,6.69023561478,additional
26,0.338,0.178601058201,0.215757241163,18415.0,6.6185760498,additional
27,0.336666666667,0.174913227513,0.21278979349,18451.88,6.54941511154,additional
28,0.340666666667,0.179380952381,0.216920517956,18455.838,6.4809589386,additional
29,0.334666666667,0.175362962963,0.212522043525,18484.836,6.41455984116,additional
30,0.337333333333,0.176057936508,0.213924149388,18487.762,6.3482670784,additional
31,0.321333333333,0.175333862434,0.209576085468,18499.826,6.2853770256,additional
32,0.323333333333,0.176327777778,0.210688896024,18498.844,6.22142934799,additional
33,0.332666666667,0.177434920635,0.213771008865,18538.842,6.16002845764,additional
34,0.324666666667,0.17575,0.210703302693,18534.34,6.09805250168,additional
35,0.322666666667,0.176230687831,0.210595068386,18559.968,6.03715133667,additional
36,0.326666666667,0.17585,0.211246468085,18554.402,5.97700643539,additional
37,0.322666666667,0.176944179894,0.211160948391,18577.64,5.91723394394,additional
38,0.324666666667,0.174733862434,0.209854348287,18540.382,5.85948324203,additional
39,0.317333333333,0.180035185185,0.212339706698,18556.302,5.79973554611,additional
40,0.332666666667,0.174077513228,0.211322171835,18536.128,5.74208116531,additional
41,0.326,0.174106613757,0.209775447,18552.366,5.68422555923,additional
